empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,"	J_name","	type","	parent","	a_x","	a_y","	a_z","	px","	py","	pz","	pRx","	pRy","	pRz","	uri","	mesh scale x","	mesh scale y","	mesh scale z","	vpx","	vpy","	vpz","	vproll","	vppitch","	vpyaw","	cylinder","	length","	radius","	vpx","	vpy","	vpz","	vproll","	vppitch","	vpyaw","	box","	sizex","	sizey","	sizez","	vpx","	vpy","	vpz","	vproll","	vppitch","	vpyaw","	lower","	upper","	effort","	velocity","	ipx","	ipy","	ipz","	iproll","	ippitch","	ipyaw","	mass","	ixx","	ixy","	ixz","	iyy","	iyz","	izz "
pelvis,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,0.1,0.1905,0.15,0,0,0.05,0,0,0,0,0,0,0,0.00115,0.02425,0.00012,0,-1.5708,0,12.8142,0.086831,-9.80E-05,-1.40E-06,0.12768,-0.019368,0.12709
ltorso,to1_tor_tilt,revolute,pelvis,-1,0,-3.67E-06,-3.50E-07,0,0.09525,0,-1.5708,0,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.2286,0.2,0.1,0.1143,0,0.05,0,0,0,-0.34907,0.34907,100,12,0.1193,-0.00024,0.05482,0,0,0,6.471,0.010501,-4.47E-05,0.0026378,0.083485,2.70E-06,0.083126
utorso,to2_tor_rota,revolute,ltorso,7.35E-06,-3.67E-06,-1,-0.060402,0,0.32385,0,3.1416,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.7,0.1,0.07,0,-0.02,0,0.7854,0,0,-0.34907,0.34907,100,10,-0.00112,-0.01501,-0.10391,0,0,0,31.3577,0.53111,0.000923,-0.0007483,1.1873,-0.077863,0.91496
l_ushou,la1_sho_abad,revolute,utorso,0.76604,2.36E-06,0.64279,-0.070131,0.31433,0.36077,0.87266,0,1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.06,0.1,0.3302,0,0,0.16307,0,0,0,-0.17453,2.0944,100,12,0.01647,0.00381,0.19425,0,0,0,4.8909,0.036159,0.0018219,-0.0046394,0.034888,-0.0074231,0.012539
l_lshou,la2_sho_flex,revolute,l_ushou,-2.28E-09,-1,3.68E-06,0.22208,0.30798,0.53966,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.15494,0.1,0.06,0.0772,0.024536,-0.024638,0,0,-0.087266,-0.47647,2.0944,100,12,0.11087,0.0182,-0.02557,0,0,0,3.231,0.0042649,0.0002646,0.0002986,0.0076452,5.18E-05,0.0077414
l_uarm,la3_hum_rota,revolute,l_lshou,0.087148,3.66E-06,0.9962,0.23833,0.33889,0.38525,-0.087266,0,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.06,0.1,0.18796,0,-0.0081788,-0.09398,0,0,-0.087266,-1.3963,0.87266,100,12,-0.00112,-0.00157,-0.11125,0,0,0,4.8803,0.019132,0.0001585,0.0025749,0.018815,0.0002531,0.011079
l_larm,la4_elb_flex,revolute,l_uarm,-2.00E-09,-1,3.68E-06,0.22184,0.34524,0.19677,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.3429,0.05,0.05,0.17145,0.003048,0.03683,0,0,0,0,2.6704,100,12,0.11918,-0.02395,0.0337,0,0,0,0.69113,0.0004628,0.0009098,0.0004177,0.010386,1.28E-05,0.010507
l_hand,la5_wri_rota,revolute,l_larm,-7.35E-06,3.68E-06,1,0.21575,0.30226,-0.14613,0,0,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.1524,0.1,0.06,0.0762,0,-0.083388,0,0,0,-1.5708,1.5708,100,10,0.07931,0.00146,-0.0648,0,0,0,3.231,0.015967,0.0002098,-0.0057656,0.039945,0.0002799,0.034993
r_ushou,ra1_sho_abad,revolute,utorso,-0.76604,3.27E-06,-0.6428,-0.070131,-0.31433,0.36077,2.2689,0,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.06,0.1,0.3302,0,0,-0.16307,0,0,0,-0.17453,2.0944,100,12,0.0164,0.0039,-0.19416,0,0,0,4.8909,0.0017929,0.0017929,0.0046508,0.034874,0.0073972,0.012524
r_lshou,ra2_sho_flex,revolute,r_ushou,-1.33E-06,-1,5.39E-07,0.22209,-0.30798,0.53966,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.15494,0.1,0.06,0.0772,0.024536,0.024638,0,0,-0.087266,-0.47647,2.0944,100,12,0.11093,0.01825,0.02571,0,0,0,3.2262,0.0042548,0.0002492,-0.0002769,0.0076126,-5.20E-05,0.007705
